date,campaign_name,impressions,clicks,conversions,spend
2024-11-11,FB Campaign D,16795,3201,745,1237.45
2024-11-11,FB Campaign A,7265,287,18,1745.73
2024-11-08,FB Campaign B,17023,2275,145,1471.8
2025-05-21,FB Campaign A,3433,152,14,678.06
2024-08-22,FB Campaign A,7396,680,83,1262.52
2025-01-17,FB Campaign B,19431,1272,180,966.53
2025-01-22,FB Campaign C,4005,191,34,1225.59
2024-12-09,FB Campaign A,4556,571,52,223.6
2024-10-28,FB Campaign A,11555,1352,197,130.34
2025-07-06,FB Campaign A,16787,1747,102,1827.71
2024-09-19,FB Campaign D,4943,758,118,495.09
2025-04-17,FB Campaign C,8989,143,37,954.53
2025-02-18,FB Campaign A,1995,246,68,268.14
2025-03-03,FB Campaign C,2016,388,101,1519.91
2024-09-22,FB Campaign C,13185,2549,514,624.4
2025-01-04,FB Campaign C,19446,805,43,904.46
2024-12-07,FB Campaign D,3027,199,10,477.8
2025-01-10,FB Campaign A,13666,328,45,320.15
2024-12-13,FB Campaign D,9392,1206,160,220.76
2024-10-01,FB Campaign D,15039,2053,406,621.97
2024-09-04,FB Campaign C,6056,501,146,1712.94
2024-08-05,FB Campaign A,1502,235,40,1093.19
2024-08-15,FB Campaign C,18868,911,249,1003.2
2024-11-04,FB Campaign A,19141,698,140,1125.7
2024-08-29,FB Campaign D,2059,389,77,1420.09
2025-05-11,FB Campaign B,11817,1519,188,300.44
2025-05-11,FB Campaign C,14931,678,185,1124.75
2025-07-14,FB Campaign A,12494,2277,268,1330.61
2024-11-29,FB Campaign D,10474,118,20,893.08
2025-01-12,FB Campaign B,14545,1078,308,714.09
2024-11-04,FB Campaign B,18879,2710,381,1946.39
2024-09-21,FB Campaign C,18675,1080,188,671.67
2024-11-21,FB Campaign B,18082,2275,399,197.81
2025-03-12,FB Campaign D,8392,1095,241,1108.78
2025-03-06,FB Campaign C,6791,781,154,253.62
2025-01-31,FB Campaign D,13688,2030,288,1301.38
2025-02-14,FB Campaign C,2930,483,120,386.36
2025-02-03,FB Campaign C,12589,1790,473,719.32
2025-07-12,FB Campaign D,2986,489,67,282.74
2024-12-06,FB Campaign C,3385,572,125,1496.91
2024-12-29,FB Campaign D,17646,2389,607,1154.88
2024-09-29,FB Campaign D,14168,792,58,1804.71
2024-09-06,FB Campaign A,8158,607,83,1479.32
2024-12-09,FB Campaign D,5499,981,240,1319.86
2024-10-14,FB Campaign A,19032,774,212,1252.22
2025-03-15,FB Campaign B,3557,670,196,639.45
2025-08-01,FB Campaign A,12969,1834,390,526.11
2025-01-08,FB Campaign C,6699,368,48,1518.33
2024-12-13,FB Campaign D,2218,299,57,277.98
2024-08-22,FB Campaign B,7893,963,283,1024.81
2025-04-21,FB Campaign B,17609,1347,284,1370.96
2025-06-13,FB Campaign B,10007,633,35,1326.4
2024-08-17,FB Campaign D,19589,3746,1044,803.3
2025-03-21,FB Campaign A,2060,383,60,1936.64
2024-11-07,FB Campaign D,1699,292,36,831.69
2025-01-08,FB Campaign C,2816,239,62,1867.03
2025-01-21,FB Campaign D,4863,241,52,781.43
2024-12-05,FB Campaign D,17538,1159,151,1712.47
2025-05-26,FB Campaign B,13533,1059,130,1637.79
2025-07-21,FB Campaign A,19225,3359,934,1071.55
2025-06-09,FB Campaign D,13323,2154,457,1433.74
2024-12-20,FB Campaign C,14403,1728,275,1376.85
2024-09-20,FB Campaign D,17958,3529,916,1734.77
2025-06-01,FB Campaign A,10907,189,23,1120.46
2024-11-09,FB Campaign D,16328,2731,321,1933.98
2024-11-11,FB Campaign D,1876,88,13,1429.07
2025-06-04,FB Campaign B,7799,1524,272,713.62
2024-12-23,FB Campaign D,9311,572,91,249.07
2025-03-17,FB Campaign A,9308,236,37,1408.15
2024-12-07,FB Campaign A,2081,382,61,555.6
2024-11-26,FB Campaign C,17943,802,227,1312.71
2025-02-05,FB Campaign D,10662,989,229,190.66
2025-01-01,FB Campaign B,2679,107,8,749.57
2025-03-08,FB Campaign C,12310,218,57,1436.95
2025-02-20,FB Campaign A,12151,347,59,999.6
2025-05-16,FB Campaign C,5452,467,95,1306.68
2025-05-17,FB Campaign B,8390,108,30,1051.98
2025-06-21,FB Campaign D,17364,711,48,1320.6
2025-01-07,FB Campaign B,1851,220,32,1322.25
2025-01-26,FB Campaign D,6387,532,154,1820.17
2024-09-13,FB Campaign D,11636,590,85,174.03
2025-03-30,FB Campaign A,3082,227,48,832.25
2024-10-29,FB Campaign D,12261,2019,243,324.51
2024-11-22,FB Campaign A,12338,2180,509,1626.61
2025-04-06,FB Campaign B,12657,1144,219,1194.26
2024-11-07,FB Campaign B,18955,1529,373,747.53
2025-02-06,FB Campaign C,13043,1193,283,1533.63
2025-07-27,FB Campaign D,14584,1626,283,840.27
2025-02-03,FB Campaign C,8186,687,36,1820.23
2024-10-15,FB Campaign D,5360,378,108,1906.15
2025-07-05,FB Campaign D,6486,167,12,1244.64
2024-09-22,FB Campaign C,2167,346,25,1039.4
2025-03-11,FB Campaign C,5729,537,146,766.74
2024-12-24,FB Campaign B,5846,217,52,1274.61
