date,campaign_name,impressions,clicks,conversions,spend
2024-11-17,IG Campaign C,12117,1596,167,1085.15
2025-06-02,IG Campaign A,19986,3477,722,1474.79
2024-12-20,IG Campaign C,3497,598,42,816.38
2025-06-07,IG Campaign A,3561,673,40,1746.15
2025-03-16,IG Campaign D,8313,1289,360,1427.78
2024-12-21,IG Campaign B,5593,186,52,1030.28
2025-05-15,IG Campaign A,12818,1871,102,338.19
2024-10-27,IG Campaign C,6239,222,39,1284.57
2024-08-11,IG Campaign C,17822,290,83,152.24
2024-10-31,IG Campaign A,13482,2438,324,1633.38
2024-08-01,IG Campaign D,5463,373,50,462.92
2025-07-17,IG Campaign C,14087,1648,146,1278.13
2025-02-12,IG Campaign C,9981,1908,493,234.95
2025-06-19,IG Campaign C,3580,659,39,482.81
2025-05-16,IG Campaign B,8846,1659,424,635.61
2024-10-12,IG Campaign B,10809,871,135,1924.48
2024-11-15,IG Campaign B,5041,664,163,1179.58
2025-07-24,IG Campaign B,6268,132,30,1712.5
2024-08-08,IG Campaign A,11309,1791,116,392.19
2024-08-09,IG Campaign D,7832,971,78,1341.99
2025-05-14,IG Campaign D,16468,1969,450,881.86
2024-11-26,IG Campaign D,5713,721,146,1253.27
2025-04-21,IG Campaign C,7601,1413,315,1586.85
2024-11-23,IG Campaign C,8211,223,37,1810.39
2025-07-27,IG Campaign B,18527,2959,675,1243.93
2025-08-01,IG Campaign D,18612,2925,243,1927.75
2025-06-18,IG Campaign A,17473,2565,359,1497.81
2024-12-18,IG Campaign B,17676,3035,859,1880.3
2024-10-06,IG Campaign C,12821,757,158,1378.5
2025-05-11,IG Campaign C,18360,348,48,468.31
2024-08-12,IG Campaign A,10378,1973,424,1344.09
2025-07-08,IG Campaign A,6484,374,87,620.98
2025-04-18,IG Campaign B,12396,378,100,327.5
2025-01-23,IG Campaign C,14087,165,23,1891.11
2025-04-07,IG Campaign C,10719,341,18,1526.91
2025-06-11,IG Campaign A,6155,313,54,162.6
2024-08-07,IG Campaign A,10530,694,117,615.41
2025-02-22,IG Campaign C,13381,786,214,314.79
2025-07-01,IG Campaign B,12325,460,41,1122.28
2024-12-06,IG Campaign C,12763,537,116,286.96
2025-07-21,IG Campaign D,18287,1238,130,253.13
2025-07-25,IG Campaign C,3786,407,92,1265.24
2025-06-02,IG Campaign C,8819,484,98,135.47
2024-12-11,IG Campaign D,3831,635,60,317.0
2025-02-09,IG Campaign C,14968,2292,458,263.01
2024-10-12,IG Campaign C,18010,3271,533,717.36
2024-11-05,IG Campaign B,1899,92,16,1372.09
2024-10-03,IG Campaign D,12809,1580,404,443.96
2025-03-22,IG Campaign A,18176,753,61,684.59
2025-07-04,IG Campaign A,9933,1607,236,192.76
2024-11-20,IG Campaign A,7442,1023,259,857.85
2025-05-05,IG Campaign D,19441,2237,179,132.44
2025-04-24,IG Campaign D,7536,652,118,1359.41
2024-10-05,IG Campaign A,10395,1564,254,220.4
2025-05-31,IG Campaign D,18480,3039,870,159.57
2025-06-01,IG Campaign B,6533,537,55,294.24
2025-01-16,IG Campaign D,2148,411,97,676.93
2024-11-13,IG Campaign B,15679,2702,750,1679.08
2025-01-25,IG Campaign D,13789,980,172,1839.84
2025-04-03,IG Campaign D,2612,483,134,1150.51
2025-03-04,IG Campaign C,19672,1562,131,1857.26
2024-11-10,IG Campaign C,9111,171,32,751.84
2025-02-28,IG Campaign C,9863,742,156,414.91
2024-08-14,IG Campaign C,7243,505,78,1515.56
2024-11-10,IG Campaign B,5824,416,33,586.65
2025-07-01,IG Campaign D,14877,1930,453,915.61
2024-10-14,IG Campaign C,3470,514,74,294.21
2024-11-06,IG Campaign A,13389,1415,265,1396.65
2025-01-07,IG Campaign B,7105,337,17,763.78
2025-07-21,IG Campaign C,4990,857,242,127.61
2025-06-06,IG Campaign B,16151,2454,585,841.45
2025-06-08,IG Campaign D,5101,988,220,188.57
2025-05-08,IG Campaign B,12157,2315,307,1714.54
2024-11-12,IG Campaign A,2026,23,3,633.21
2024-09-29,IG Campaign D,1589,155,42,448.8
2025-03-26,IG Campaign B,18160,1153,204,386.36
2024-10-22,IG Campaign B,7499,110,11,495.34
2025-02-26,IG Campaign B,14336,1915,248,700.4
2025-04-04,IG Campaign D,9455,1153,271,1966.76
2024-12-02,IG Campaign C,14527,1696,258,1230.71
2024-12-31,IG Campaign C,15309,786,171,488.41
2024-10-06,IG Campaign B,5330,370,75,222.52
2025-01-20,IG Campaign B,18782,789,78,1570.47
2025-02-02,IG Campaign C,16389,754,115,786.38
2024-08-23,IG Campaign A,11361,2247,180,1337.05
2024-08-15,IG Campaign C,17597,339,41,1708.17
2024-12-27,IG Campaign B,4440,414,68,690.96
2024-08-31,IG Campaign A,10501,1242,68,459.69
2025-04-12,IG Campaign C,5364,578,88,1810.33
2025-05-01,IG Campaign A,3187,72,11,710.57
2024-10-15,IG Campaign A,18013,281,51,315.87
2025-06-06,IG Campaign D,12269,624,126,841.17
2024-10-10,IG Campaign C,10821,702,48,1361.84
2024-12-14,IG Campaign B,8910,104,29,1744.51
2024-11-29,IG Campaign A,4992,407,75,388.54
2025-02-03,IG Campaign D,6278,85,17,1975.12
2025-01-11,IG Campaign B,9831,849,65,1833.11
2025-04-08,IG Campaign C,3937,587,41,343.99
2025-07-09,IG Campaign A,15691,1482,331,256.47
2025-05-30,IG Campaign A,14597,2818,818,1403.3
2025-02-26,IG Campaign A,4940,498,121,367.97
2025-03-05,IG Campaign B,14718,1126,116,647.23
2024-09-07,IG Campaign B,11663,523,122,904.33
2025-02-01,IG Campaign B,7418,461,80,824.02
2025-04-01,IG Campaign D,1006,135,38,410.25
2025-07-10,IG Campaign B,1586,316,79,854.46
2025-04-05,IG Campaign C,4946,280,66,1705.9
2024-11-07,IG Campaign B,16218,1905,414,947.51
