date,campaign_name,emails_sent,opens,clicks,conversions
2025-05-28,Email Campaign W,10455,3599,788,39
2024-11-22,Email Campaign Y,9910,3868,908,114
2025-04-18,Email Campaign Y,8781,3162,940,143
2025-04-08,Email Campaign W,14687,1591,187,21
2025-06-07,Email Campaign X,5668,1568,191,46
2025-06-10,Email Campaign X,2203,630,83,6
2025-05-14,Email Campaign X,10216,4674,1249,91
2025-05-27,Email Campaign X,11539,5007,1419,128
2024-11-28,Email Campaign Y,13894,6693,788,92
2025-05-07,Email Campaign Y,10226,2513,270,24
2024-11-19,Email Campaign Y,11912,5289,827,81
2025-05-06,Email Campaign Z,10201,2590,158,10
2025-07-03,Email Campaign Z,14986,6091,1544,225
2025-07-08,Email Campaign W,12475,1706,323,64
2024-12-29,Email Campaign Y,10856,2775,782,171
2025-05-10,Email Campaign W,10167,4186,875,191
2025-06-09,Email Campaign W,5524,1828,439,65
2025-03-14,Email Campaign W,5728,2513,313,31
2025-04-25,Email Campaign X,4118,2049,133,13
2024-12-08,Email Campaign Z,8761,2170,561,132
2025-04-16,Email Campaign W,10128,3812,874,64
2025-04-04,Email Campaign Y,9001,4080,926,52
2024-11-06,Email Campaign Z,11622,2893,772,51
2025-03-02,Email Campaign W,1750,856,125,6
2024-12-25,Email Campaign W,6562,988,244,29
2025-02-24,Email Campaign X,6410,2984,424,72
2025-04-18,Email Campaign W,6185,831,202,12
2025-01-22,Email Campaign X,2686,819,153,33
2025-04-17,Email Campaign Y,6956,1922,227,38
2024-12-31,Email Campaign Y,7956,3301,311,66
2024-10-23,Email Campaign W,6918,2265,242,35
2024-12-21,Email Campaign X,8421,3150,193,32
2024-11-24,Email Campaign W,1805,218,48,11
2025-02-11,Email Campaign Y,9915,4840,1183,199
2025-06-02,Email Campaign X,3416,474,24,3
2024-12-14,Email Campaign Z,12345,3830,567,79
2024-11-10,Email Campaign W,8847,4341,361,68
2025-01-06,Email Campaign W,10070,3856,979,240
2024-10-11,Email Campaign X,9555,1449,270,47
2024-09-22,Email Campaign Y,4073,1182,334,34
2025-04-12,Email Campaign X,7088,2131,495,103
2024-10-01,Email Campaign Y,3910,518,111,21
2024-08-18,Email Campaign Z,12212,4730,1320,249
2025-06-20,Email Campaign Y,5057,1361,213,38
2025-06-29,Email Campaign Y,10045,1349,350,77
2024-12-03,Email Campaign Z,5441,1238,289,37
2024-09-20,Email Campaign W,9830,1103,71,6
2024-10-14,Email Campaign Y,4670,2140,364,76
2025-05-27,Email Campaign Y,2044,847,228,22
2025-01-08,Email Campaign Y,9268,3600,684,108
2024-10-23,Email Campaign Y,4295,1358,198,45
2024-10-11,Email Campaign W,7659,1208,269,49
2025-04-27,Email Campaign W,3516,579,132,13
2025-02-06,Email Campaign Y,4650,1815,495,122
2024-09-01,Email Campaign Y,6837,2062,311,20
2024-12-09,Email Campaign W,11382,3158,294,66
2024-09-19,Email Campaign Y,9257,3734,257,14
2024-08-11,Email Campaign X,9251,3415,490,118
2024-10-25,Email Campaign Y,9716,2248,618,142
2024-12-21,Email Campaign Z,7141,2355,368,75
2025-01-12,Email Campaign X,7510,2936,532,94
2025-04-05,Email Campaign Y,7153,3551,1008,243
2025-04-05,Email Campaign W,14045,2395,345,25
2024-10-31,Email Campaign W,2654,372,71,16
2024-10-25,Email Campaign W,13241,6458,463,87
2025-07-04,Email Campaign X,8793,1106,73,14
2024-12-01,Email Campaign W,2852,1323,321,31
2024-10-19,Email Campaign W,13790,2853,661,103
2025-03-18,Email Campaign Y,6767,3186,627,42
2024-11-16,Email Campaign X,6506,2772,142,13
2024-09-07,Email Campaign Z,10043,3727,577,103
2025-03-24,Email Campaign X,1305,131,11,2
2025-02-15,Email Campaign W,6386,2528,145,11
2025-02-07,Email Campaign Y,5929,1408,140,13
2025-01-26,Email Campaign X,5691,2067,323,75
2024-10-11,Email Campaign Z,3559,911,191,11
2024-08-01,Email Campaign W,2985,597,128,30
2025-02-07,Email Campaign Z,12581,6071,1135,170
2025-07-29,Email Campaign Y,5935,2861,709,35
2024-10-10,Email Campaign Z,9242,2969,222,42
2024-10-26,Email Campaign Y,6008,2705,649,150
2025-02-13,Email Campaign Y,12465,4049,1200,201
2024-08-04,Email Campaign X,5869,1683,394,48
2025-04-14,Email Campaign Y,3815,1777,302,46
2024-12-20,Email Campaign Z,2606,1219,117,14
2025-02-21,Email Campaign W,4221,1425,288,50
2024-08-07,Email Campaign Y,12815,2626,402,54
2025-06-01,Email Campaign Y,14345,2500,254,55
2025-05-12,Email Campaign X,13056,3340,175,39
2024-10-07,Email Campaign Y,8531,2272,465,108
2024-10-06,Email Campaign Z,4771,1372,367,73
2025-07-10,Email Campaign W,13513,2120,316,52
2025-06-26,Email Campaign X,2468,380,94,17
2025-05-06,Email Campaign Y,13720,3308,521,62
2025-07-02,Email Campaign Z,4137,504,121,12
2024-12-03,Email Campaign Y,3586,1150,304,56
2025-02-09,Email Campaign X,12872,5583,372,30
2024-08-07,Email Campaign W,13400,2478,179,27
2025-02-11,Email Campaign X,12899,2289,536,32
2025-02-06,Email Campaign Z,14461,6123,399,52
2025-06-22,Email Campaign X,6037,2585,659,154
2024-10-01,Email Campaign W,10498,4072,1108,152
2025-02-06,Email Campaign X,4043,489,31,3
